dates,number_of_marriage
2020-02-27,11
2018-09-21,12
2020-11-25,15
2019-11-23,21
2018-03-23,13
2020-06-03,12
2018-10-14,25
2019-06-16,13
2018-12-12,17
2019-02-18,10
2023-10-09,14
2022-05-02,16
2018-06-30,16
2018-08-16,6
2019-11-09,15
2018-03-20,25
2019-09-24,12
2020-07-06,17
2019-03-25,19
2018-11-16,12
2023-09-17,15
2018-05-09,19
2019-06-27,14
2021-06-24,17
2021-02-25,17
2020-06-15,11
2020-05-20,18
2019-07-06,19
2021-10-09,9
2023-02-21,8
2019-12-27,13
2022-01-27,20
2020-03-28,23
2019-10-16,18
2021-04-09,16
2021-06-24,11
2022-10-19,8
2019-09-14,12
2021-10-20,19
2021-07-31,17
2021-01-09,17
2019-04-03,13
2018-06-29,18
2022-05-22,16
2022-02-24,13
2021-10-09,13
2023-02-25,15
2019-09-04,17
2018-02-23,17
2018-08-04,15
2018-08-14,10
2021-07-05,17
2018-05-26,15
2019-03-22,16
2023-05-01,15
2023-09-09,16
2019-02-05,10
2022-05-31,10
2021-11-03,16
2019-04-01,10
2021-12-14,13
2019-05-02,17
2023-05-12,17
2021-07-11,21
2018-10-23,16
2018-05-29,13
2021-04-28,11
2020-09-03,16
2022-01-13,12
2021-11-21,13
2018-01-30,18
2023-07-23,15
2019-09-05,14
2022-05-18,17
2018-11-16,14
2020-10-23,12
2023-05-17,11
2018-08-10,19
2020-10-18,13
2019-07-10,14
2019-03-05,13
2023-04-29,14
2019-08-24,13
2018-10-17,20
2022-08-04,11
2022-02-15,16
2021-07-07,16
2021-10-16,12
2022-05-17,15
2021-05-10,14
2020-09-21,14
2023-04-13,13
2020-11-29,17
2018-10-20,14
2018-03-10,18
2021-10-11,17
2019-03-12,11
2022-11-18,16
2023-06-13,14
2020-04-21,23
